"","UMAP1","UMAP2","gene","module","color","hub","kME"
"PRELID1",2.97424931437214,1.8810111275725,"PRELID1","Module9","#1f6e9c","hub",0.711539458118736
"CD52",-1.37464277833263,0.320481061082327,"CD52","Module7","#9f5691","hub",0.910892526959446
"GPR183",1.35608811289509,-6.69395768727735,"GPR183","Module8","#633372","other",0.106447163598531
"HINT1",6.67681999117573,-1.65377658690885,"HINT1","Module2","#fe9b00","hub",0.846516319062424
"FAM103A1",5.72813529879292,6.09263718042895,"FAM103A1","Module4","#9b3441","other",0.18528169384508
"SPNS1",4.0544750204726,4.7509685746245,"SPNS1","Module4","#9b3441","other",0.143385627337287
"STRA13",3.64207858950337,5.71587479029223,"STRA13","Module4","#9b3441","other",0.0883433201292451
"CNBP",5.58326978594502,-3.76824724759535,"CNBP","Module5","#de597c","other",0.516925864595205
"MT1E",4.08162803560932,-6.00714385594801,"MT1E","Module5","#de597c","other",0.339121991125385
"DUS1L",-11.8792937287645,-4.40685999478773,"DUS1L","Module6","#e87b89","other",0.0368229319672846
"DCXR",6.46121520907124,-2.93676078404859,"DCXR","Module5","#de597c","other",0.369377688906295
"UGP2",-1.0764168390588,-1.06281635995582,"UGP2","Module1","#f4c40f","other",0.345266380576566
"HNRNPF",5.12608451754292,-1.98547232236341,"HNRNPF","Module2","#fe9b00","other",0.551287220275298
"KLF13",-11.8631136903123,-4.29196345891432,"KLF13","Module6","#e87b89","other",0.335290440677937
"SF3B5",0.965092848841744,1.20066153917834,"SF3B5","Module7","#9f5691","other",0.43042291159146
"CHD3",-11.8072093018846,-1.61300993051008,"CHD3","Module3","#d8443c","other",0.062415121340446
"YWHAG",-12.2548935899095,1.01677405748888,"YWHAG","Module3","#d8443c","other",0.0232519132402558
"TRAPPC1",1.51880330950459,2.67339265261217,"TRAPPC1","Module10","#2b9b81","other",0.122644474750535
"GABARAP",5.06218118578632,7.10986483011767,"GABARAP","Module4","#9b3441","other",0.455244322946551
"STX8",-0.338646922405166,2.47165262613817,"STX8","Module7","#9f5691","other",0.417602417627027
"FOS",-2.04144244283001,4.10580694590136,"FOS","Module10","#2b9b81","other",0.698684792150639
"PFKFB3",1.32196707636555,-6.75039708699659,"PFKFB3","Module8","#633372","other",0.11049576564528
"ARL6IP1",-1.31571822255413,2.7936612359099,"ARL6IP1","Module7","#9f5691","other",0.35418721013182
"AKAP13",0.431013714377481,-6.36028468694166,"AKAP13","Module11","#92c051","hub",0.851347195517754
"TRIAP1",5.80437536150654,-2.08060669984297,"TRIAP1","Module2","#fe9b00","other",0.163011480413807
"LSM3",1.15909702688892,-1.61302703704313,"LSM3","Module1","#f4c40f","other",0.617747339616664
"RPS9",5.58820791155537,6.59573185358568,"RPS9","Module4","#9b3441","other",0.6621120029933
"NDUFA3",0.585561644141274,4.92022287760302,"NDUFA3","Module10","#2b9b81","other",0.150679846599806
"ATP6V0E2",0.267952006165582,0.394243239503348,"ATP6V0E2","Module7","#9f5691","other",0.495845152672838
"TMEM126B",3.51814384371479,-1.73639488305525,"TMEM126B","Module2","#fe9b00","other",0.185749021209302
"SCAND1",1.63799519449909,2.67975246820971,"SCAND1","Module10","#2b9b81","other",0.0853911935269627
"JUNB",-1.76326327412884,3.8806883088164,"JUNB","Module10","#2b9b81","other",0.585705508444527
"MRPL36",6.37172241121967,-1.6676914700456,"MRPL36","Module2","#fe9b00","other",0.275342616890564
"HOPX",-1.33413903802196,0.318588852029288,"HOPX","Module7","#9f5691","other",0.572755325253622
"TBCA",4.92653007418354,3.85131370935961,"TBCA","Module2","#fe9b00","other",0.437056655859242
"CLSTN1",-12.0388777741746,-3.51263892735914,"CLSTN1","Module3","#d8443c","other",0.0100712022722166
"BPTF",-11.9729693421678,-0.275476754564798,"BPTF","Module3","#d8443c","other",0.0583147650873326
"RGS19",-1.30859534829418,2.99846661005541,"RGS19","Module10","#2b9b81","other",0.115618240075732
"NINJ2",0.137867312733727,1.96056950007006,"NINJ2","Module7","#9f5691","other",0.258193417279399
"MLLT3",5.21396751314839,-4.97238648023084,"MLLT3","Module5","#de597c","other",0.230553772847095
"RPS21",5.48902768999775,7.61263620768114,"RPS21","Module4","#9b3441","other",0.719594607032268
"PTEN",-11.8511260041551,-0.924798809845006,"PTEN","Module3","#d8443c","other",0.203182454148753
"RPS7",5.28006858736714,7.81864702616259,"RPS7","Module4","#9b3441","other",0.741186080778079
"PPIH",1.61997849852284,3.66367542658373,"PPIH","Module10","#2b9b81","other",0.0168363468084871
"MOB3A",-12.2369063386277,0.839932679276908,"MOB3A","Module3","#d8443c","other",0.0648794907908751
"CYCS",1.53212876230915,3.43867075357958,"CYCS","Module9","#1f6e9c","other",0.478464692560219
"MRPL13",3.84497136980732,-1.255161703486,"MRPL13","Module2","#fe9b00","other",0.189844105945028
"ISG20",1.00248808771809,0.15216135893389,"ISG20","Module1","#f4c40f","other",0.290843375111368
"ZNF131",-0.52852909653942,-2.88960099305586,"ZNF131","Module11","#92c051","other",0.129540808092264
"BSG",4.76372404009541,1.35440242205187,"BSG","Module2","#fe9b00","other",0.533536082594119
"SUCLG2",-0.755432117875022,0.487408279519522,"SUCLG2","Module7","#9f5691","other",0.369725907514187
"MYEOV2",5.73827333361347,7.45407354746386,"MYEOV2","Module4","#9b3441","other",0.305842943215184
